Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
peach-tease,Peach Tease,"<pre><code>Inspired By: E11even Hotel Miami</code></pre><ul ><li><p ><strong>Top Notes: </strong>White Peach, Bergamot, Lilac</p></li><li><p ><strong>Middle Notes: </strong>Ylang Ylang, Calone, Cyclamen</p></li><li><p ><strong>Base Notes: </strong>Musk, Sandalwood, Vanilla Bean, Patchouli</p></li></ul><p >White peach, bergamot, and lilac burst in like a juicy summer day—light, fresh, and irresistibly sweet. But don’t be fooled—ylang ylang, calone, and cyclamen keep things intriguing, adding a touch of mystery beneath all that brightness. As it settles, musk, sandalwood, vanilla bean, and patchouli wrap everything up in a smooth, sensual embrace that lingers just a little too long. It’s the scent that says, “I’m sweet, but I’ve got layers.”</p><p ><strong>Mood: </strong>Soft. Creamy. Polished.</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong>10ml: </strong>Perfect size for <a href=""/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong>150ml: </strong>Works for either <a href=""/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong>500ml</strong>: Fills up <a href=""/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""/machines-by-space-size"">her</a><a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">e</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,HC-PT-500,,shopify,999,deny,manual,124.99,74.99,TRUE,TRUE,,,,,FALSE,Peach Tease,,,unisex,adult,HC-PT-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
peach-tease,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/d687eb37-c42b-4b06-9e6a-09c784365601/peach+tease+scent.png,1,Peach Tease - Image 1,,,,,,,,,,,,,,,,,,,,
peach-tease,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/15681679-26a6-4a55-a665-10c4d789261e/peach+tease+bottle.jpeg,2,Peach Tease - Image 2,,,,,,,,,,,,,,,,,,,,
naughty-nice,Naughty & Nice,"<pre><code>Inspired By: 1 Hotel South Beach, Miami</code></pre><ul ><li><p ><strong>Top Notes: </strong>Cardamom, Leather, Lemon</p></li><li><p ><strong>Middle Notes: </strong>Cinnamon, Oud Wood, Sandalwood</p></li><li><p ><strong>Base Notes: </strong>Amber, Musk, Vetiver</p></li></ul><p >Cardamom, leather, and lemon kick things off like a fiery first impression—bright, bold, and not taking any prisoners. Then, cinnamon, oud wood, and sandalwood slide in, giving the whole thing an exotic, ""I dare you to keep up"" kind of vibe. But the best part? Amber, musk, and vetiver finish it off with a smooth, earthy depth that hangs around long after you’ve left the room. It’s the scent that says, “I’m here to steal the spotlight—and I’ll make it look effortless.”</p><p ><strong>Mood: </strong>Crisp. Warm. Controlled.</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong>10ml: </strong>Perfect size for <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong>150ml: </strong>Works for either <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong>500ml</strong>: Fills up <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://www.whiffedaromas.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://www.whiffedaromas.com/machines-by-space-size"">her</a><a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">e</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,HC-N&N-500,,shopify,999,deny,manual,124.99,94.99,TRUE,TRUE,,,,,FALSE,Naughty & Nice,,,unisex,adult,HC-N&N-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
naughty-nice,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/872be891-97e7-4a72-931b-dd93cd352b23/naughty+%26+nice+scent.png,1,Naughty & Nice - Image 1,,,,,,,,,,,,,,,,,,,,
naughty-nice,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/b0c184af-6577-44d3-a266-0752e3382851/naughty+%26+nice+bottle.jpeg,2,Naughty & Nice - Image 2,,,,,,,,,,,,,,,,,,,,
wet-bar,Wet Bar,"<pre><code>Inspired By: Four Season Hotel, Milano </code></pre><ul ><li><p ><strong>Top Notes: </strong>Geranium, Sea Salt, Grapefruit</p></li><li><p ><strong>Middle Notes: </strong>Sage, Seaweed</p></li><li><p ><strong>Base Notes: </strong>Grapefruit, Cedar, Lily</p></li></ul><p ><strong>Mood: </strong>Brisk. Aquatic. Refined.</p><p >Geranium, sea salt, and grapefruit burst in like a coastal breeze—fresh, vibrant, and totally energizing. Sage and seaweed flow in next, giving off that earthy, “I just came from the ocean” vibe. And as it settles, a smooth blend of grapefruit, cedar, and lily takes over, adding a touch of warmth and depth that keeps things interesting. It’s like stepping into a sun-drenched afternoon by the sea—fresh, free, and ready to turn heads.</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong>10ml: </strong>Perfect size for <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong>150ml: </strong>Works for either <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong>500ml</strong>: Fills up <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://www.whiffedaromas.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://www.whiffedaromas.com/machines-by-space-size"">her</a><a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">e</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,HC-WB-500,,shopify,999,deny,manual,124.99,74.99,TRUE,TRUE,,,,,FALSE,Wet Bar,,,unisex,adult,HC-WB-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
wet-bar,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/29d49fc3-62a2-4b22-a389-381240e30e30/wet+bar+scent.png,1,Wet Bar - Image 1,,,,,,,,,,,,,,,,,,,,
wet-bar,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/1db30ef5-eeb1-45c5-bd3d-26f052660b30/wet+bar+bottle.jpeg,2,Wet Bar - Image 2,,,,,,,,,,,,,,,,,,,,
minted-in-manhattan,Minted in Manhattan,"<pre><code>Inspired By: The Equinox Hotel, New York</code></pre><ul ><li><p ><strong><span>Top Notes: </span></strong><span>Eucalyptus, Lemon, Cornmint, Citron</span></p></li><li><p ><strong><span>Middle Notes: </span></strong><span>Rose Oxide, Cyclamen, Lilac, Lavender</span></p></li><li><p ><strong><span>Base Notes: </span></strong><span>Nutmeg, Sandalwood, Musk</span></p></li></ul><p >A blast of eucalyptus, lemon, and mint snaps your space to attention—sharp, fresh, and seriously addictive. Then, just when you think it’s all business, lavender, lilac, and cyclamen glide in, softening the edges like a wink across the room. The finish? A sultry swirl of nutmeg, sandalwood, and musk that lingers just long enough to keep ‘em guessing. Perfect for turning any room from meh to damn—no effort required.</p><p ><strong>Mood: </strong>Cool. Airy. Composed.</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong>10ml: </strong>Perfect size for <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong>150ml: </strong>Works for either <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong>500ml</strong>: Fills up <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://www.whiffedaromas.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://www.whiffedaromas.com/machines-by-space-size"">her</a><a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">e</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,HC-MIM-500,,shopify,999,deny,manual,124.99,94.99,TRUE,TRUE,,,,,FALSE,Minted in Manhattan,,,unisex,adult,HC-MIM-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
minted-in-manhattan,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/f02ec84d-8735-42c9-a434-90b2b2ba9a5e/minted+in+manhattan+scent.png,1,Minted in Manhattan - Image 1,,,,,,,,,,,,,,,,,,,,
minted-in-manhattan,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/ea8ccaa0-c4bc-47c9-a1da-f605d87708b0/minted+in+manhattan+bottle.jpeg,2,Minted in Manhattan - Image 2,,,,,,,,,,,,,,,,,,,,
tea-temptation,Tea & Temptation,"<pre><code>Inspired By: Westin Hotels</code></pre><ul ><li><p ><strong><span>Top Notes: </span></strong><span>Silver Needle Point Tea, Frosted Bergamot, White Tea Blooms</span></p></li><li><p ><strong><span>Middle Notes: </span></strong><span>Ginger Lily, White Tea Leave Petals, Pekoe Tea</span></p></li><li><p ><strong><span>Base Notes: </span></strong><span>Mate Musk, Mahogany Wood, Teakwood</span></p></li></ul><p >This scent brings tea time to a whole new level—silver needle and frosted bergamot perk up your space like a crisp breeze through an open window. Ginger lily and white tea petals swirl in with a soft, sexy hush, while mahogany and teakwood sneak in underneath, making everything feel a little more luxe (and a lot more irresistible). Perfect for when you want your place to say, “I’m chill... but I’ve got depth.”</p><p ><strong>Mood:</strong> Fresh. Subtle. Refined.</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong>10ml: </strong>Perfect size for <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong>150ml: </strong>Works for either <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong>500ml</strong>: Fills up <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://www.whiffedaromas.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://www.whiffedaromas.com/machines-by-space-size"">her</a><a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">e</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,HC-T&T-500,,shopify,999,deny,manual,124.99,94.99,TRUE,TRUE,,,,,FALSE,Tea & Temptation,,,unisex,adult,HC-T&T-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
tea-temptation,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/c298587e-f9fc-417e-91f2-a450991ae0be/tea+%26+temptation+scent.png,1,Tea & Temptation - Image 1,,,,,,,,,,,,,,,,,,,,
tea-temptation,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/deac7590-552a-4484-bece-43ede4549373/team+%26+temptation+bottle.jpeg,2,Tea & Temptation - Image 2,,,,,,,,,,,,,,,,,,,,
mystic-nights,Mystic Nights,"<pre><code>Inspired By: Fairmont Hotels</code></pre><ul ><li><p ><strong><span>Top Notes: </span></strong><span>Oud Wood, Caraway, Cumin</span></p></li><li><p ><strong><span>Middle Notes: </span></strong><span>Rose, Vetiver, Sweet Praline</span></p></li><li><p ><strong><span>Base Notes: </span></strong><span>Musk, Frankincense, Agarwood</span></p></li></ul><p >Oud wood, caraway, and cumin hit you first—rich, smoky, and a little mysterious, like a secret whispered from across the room. Then, rose and vetiver make their entrance, softening the edges with a touch of sweetness and earthy depth. But the real magic happens when sweet praline, musk, frankincense, and agarwood slide in, creating an intoxicating, luxurious finish that lingers like an unforgettable night. It’s the scent that says, “I’ve got secrets... and you’re about to want to know them.”</p><p ><strong>Mood: </strong>Bold. Smooth. Composed.</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong>10ml: </strong>Perfect size for <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong>150ml: </strong>Works for either <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong>500ml</strong>: Fills up <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://www.whiffedaromas.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://www.whiffedaromas.com/machines-by-space-size"">her</a><a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">e</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,HC-MNS-500,,shopify,999,deny,manual,124.99,94.99,TRUE,TRUE,,,,,FALSE,Mystic Nights,,,unisex,adult,HC-MNS-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
mystic-nights,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/d58d7e67-d32b-447e-9301-991189a665e2/mystic+nights+scent.png,1,Mystic Nights - Image 1,,,,,,,,,,,,,,,,,,,,
mystic-nights,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/b9617545-d412-4e96-b974-53276c398041/mystic+nights+bottle.jpeg,2,Mystic Nights - Image 2,,,,,,,,,,,,,,,,,,,,
citrus-seduction,Citrus Seduction,"<pre><code>Inspired By: The Edition Hotels</code></pre><ul ><li><p ><strong><span>Top Notes:</span></strong><span> Lemon, Bergamot, Black Fig</span></p></li><li><p ><strong><span>Middle Notes: </span></strong><span>Freesia, Rose, Cedarwood</span></p></li><li><p ><strong><span>Base Notes: </span></strong><span>Amber, Musk, Blonde Woods</span></p></li></ul><p >Lemon, bergamot, and black fig pop first—zesty, fresh, and just a bit unexpected, like an adventure waiting to happen. As it settles, freesia and rose add a soft, floral elegance, while cedarwood brings in a grounded, woody warmth. Amber, musk, and blonde woods finish everything off with a smooth, sensual depth that lingers just long enough to leave a lasting impression. It’s the scent that says, “I’m fresh, I’m bold, and I’m not afraid to keep you guessing.”</p><p ><strong>Mood: </strong>Crisp. Elegant. Balanced.</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong>10ml: </strong>Perfect size for <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong>150ml: </strong>Works for either <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong>500ml</strong>: Fills up <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://www.whiffedaromas.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://www.whiffedaromas.com/machines-by-space-size"">her</a><a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">e</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,HC-CSN-500,,shopify,999,deny,manual,124.99,74.99,TRUE,TRUE,,,,,FALSE,Citrus Seduction,,,unisex,adult,HC-CSN-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
citrus-seduction,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/076b6191-7538-468c-ace7-c0699d5bb553/citrus+seduction+scent.png,1,Citrus Seduction - Image 1,,,,,,,,,,,,,,,,,,,,
